State,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Alabama,Birmingham,24/05/2015,4.966667,21.3,20,20,0.035292,0.043,0,40,1.186364,5.2,23,7.0,0.1625,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,25/05/2015,4.529167,14.8,22,13,0.024958,0.035,0,32,0.415,3.7,0,4.0,0.116667,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,26/05/2015,5.841667,16.8,2,15,0.018875,0.023,14,21,0.304545,0.9,3,0.0,0.1125,0.2,11.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,27/05/2015,5.579167,11.2,20,10,0.022667,0.031,10,29,0.445455,3.0,16,4.0,0.1,0.1,0.0,1.0,32.6010112,-86.6807365
Alabama,Birmingham,28/05/2015,13.244444,20.1,6,19,0.019125,0.025,8,23,1.145,3.5,16,4.0,0.1625,0.2,6.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,01/06/2015,11.4,15.3,4,14,0.02675,0.041,9,38,0.585,1.8,18,1.0,0.183333,0.2,9.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,03/06/2015,4.246667,14.0,19,13,0.026042,0.043,10,40,0.290909,2.9,8,3.0,0.191667,0.2,1.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,04/06/2015,8.566667,20.6,23,19,0.028542,0.05,9,46,0.704545,2.3,5,3.0,0.185714,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,05/06/2015,11.679167,36.3,22,34,0.034625,0.062,10,74,2.468182,7.5,5,10.0,0.208333,0.3,1.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,06/06/2015,9.854167,33.0,22,31,0.035625,0.061,9,71,4.095455,39.5,7,55.0,0.2375,0.3,1.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,07/06/2015,11.666667,30.6,0,28,0.041833,0.066,9,87,4.645455,37.3,6,52.0,0.283333,0.4,2.0,5.0,32.6010112,-86.6807365
